Time,Position,Sound 1,Sound 2,Temperature,Humidity,Light,Position Back,N Mov Back,N Back pos,N Back total,Position Front,N Mov Front,N Front pos,N Front total
16:03:764767,Left side,466 Loud,123 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:896426,Left side,300 Loud,203 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:031310,Left side,258 Loud,214 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:397992,Left side,238 Loud,211 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:899274,Left side,228 Loud,209 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:400277,Left side,227 Loud,214 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:901284,Left side,223 Loud,208 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:402551,Left side,224 Loud,211 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:900762,Left side,223 Loud,211 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:403332,Left side,224 Loud,213 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:904634,Left side,223 Loud,211 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:405489,Left side,225 Loud,215 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:960243,Left side,222 Loud,210 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:975886,Left side,226 Loud,216 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:975886,Left side,224 Loud,212 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:991501,Left side,226 Loud,215 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:991501,Left side,227 Loud,217 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
16:03:007125,Left side,226 Loud,216 Loud,27.27,20.68,9.00,LOW,0,0,0,Up,0,0,0
