Time,Position,Sound 1,Sound 2,Position Back,N Mov Back,N Back pos,N Back total,Position Front,N Mov Front,N Front pos,N Front total
16:04:723842,,Left side,466 Loud,154 Loud,LOW,0,0,0,Up,0,0
16:04:855461,Left side,316 Loud,231 Loud,LOW,0,0,0,Up,0,0,0
16:04:991193,Left side,257 Loud,209 Loud,LOW,0,0,0,Up,0,0,0
16:04:124784,Left side,243 Loud,219 Loud,LOW,0,0,0,Up,0,0,0
16:04:256455,Left side,234 Loud,217 Loud,LOW,0,0,0,Up,0,0,0
16:04:387948,Left side,231 Loud,217 Loud,LOW,0,0,0,Up,0,0,0
16:04:526013,Left side,228 Loud,216 Loud,LOW,0,0,0,Up,0,0,0
16:04:657534,Left side,228 Loud,217 Loud,LOW,0,0,0,Up,0,0,0
16:04:804669,Left side,344 Loud,393 Loud,LOW,0,0,0,Up,0,0,0
16:04:942722,Left side,202 Loud,141 Loud,LOW,0,0,0,Up,0,0,0
16:04:073827,Left side,222 Loud,208 Loud,LOW,0,0,0,Up,0,0,0
16:04:199970,Left side,228 Loud,219 Loud,LOW,0,0,0,Up,0,0,0
16:04:327856,Left side,226 Loud,215 Loud,LOW,0,0,0,Up,0,0,0
16:04:479663,Left side,344 Loud,395 Loud,LOW,0,0,0,Up,0,0,0
16:04:628304,Center,322 Loud,324 Loud,LOW,0,0,0,Up,0,0,0
16:04:775476,Left side,218 Loud,164 Loud,LOW,0,0,0,Up,0,0,0
16:04:922662,Left side,337 Loud,378 Loud,LOW,0,0,0,Up,0,0,0
16:04:044739,Left side,206 Loud,148 Loud,LOW,0,0,0,Up,0,0,0
16:04:207574,Left side,336 Loud,381 Loud,LOW,0,0,0,Up,0,0,0
16:04:330022,Left side,203 Loud,144 Loud,LOW,0,0,0,Up,0,0,0
16:04:461706,Left side,221 Loud,207 Loud,LOW,0,0,0,Up,0,0,0
16:04:593347,Left side,227 Loud,218 Loud,LOW,0,0,0,Up,0,0,0
16:04:731387,Left side,225 Loud,213 Loud,LOW,0,0,0,Up,0,0,0
16:04:862956,Left side,227 Loud,216 Loud,LOW,0,0,0,Up,0,0,0
16:04:994130,Left side,227 Loud,216 Loud,LOW,0,0,0,Up,0,0,0
16:04:132229,Left side,225 Loud,213 Loud,LOW,0,0,0,Up,0,0,0
16:04:279503,Left side,344 Loud,395 Loud,LOW,0,0,0,Up,0,0,0
16:04:435489,Left side,317 Loud,318 Loud,LOW,0,0,0,Up,0,0,0
16:04:566847,Left side,215 Loud,162 Loud,LOW,0,0,0,Up,0,0,0
16:04:698372,Left side,220 Loud,201 Loud,LOW,0,0,0,Up,0,0,0
16:04:836637,Left side,227 Loud,217 Loud,LOW,0,0,0,Up,0,0,0
16:04:965116,Left side,223 Loud,210 Loud,LOW,0,0,0,Up,0,0,0
16:04:084285,Left side,223 Loud,211 Loud,LOW,0,0,0,Up,0,0,0
16:04:231046,Left side,223 Loud,211 Loud,LOW,0,0,0,Up,0,0,0
16:04:353524,Left side,224 Loud,213 Loud,LOW,0,0,0,Up,0,0,0
16:04:485137,Left side,223 Loud,212 Loud,LOW,0,0,0,Up,0,0,0
16:04:616709,Left side,223 Loud,212 Loud,LOW,0,0,0,Up,0,0,0
16:04:754767,Left side,223 Loud,211 Loud,LOW,0,0,0,Up,0,0,0
16:04:897132,Left side,224 Loud,213 Loud,LOW,0,0,0,Up,0,0,0
16:04:029066,Left side,222 Loud,211 Loud,LOW,0,0,0,Up,0,0,0
16:04:163249,Left side,223 Loud,212 Loud,LOW,0,0,0,Up,0,0,0
16:04:294653,Left side,223 Loud,211 Loud,LOW,0,0,0,Up,0,0,0
16:04:426159,Left side,223 Loud,212 Loud,LOW,0,0,0,Up,0,0,0
16:04:559736,Left side,223 Loud,213 Loud,LOW,0,0,0,Up,0,0,0
16:04:691365,Left side,223 Loud,212 Loud,LOW,0,0,0,Up,0,0,0
16:04:822931,Left side,224 Loud,214 Loud,LOW,0,0,0,Up,0,0,0
16:04:945276,Left side,223 Loud,213 Loud,LOW,0,0,0,Up,0,0,0
16:04:076842,Left side,223 Loud,211 Loud,LOW,0,0,0,Up,0,0,0
16:04:224098,Left side,224 Loud,213 Loud,LOW,0,0,0,Up,0,0,0
16:04:346564,Left side,223 Loud,212 Loud,LOW,0,0,0,Up,0,0,0
16:04:477709,Left side,224 Loud,212 Loud,LOW,0,0,0,Up,0,0,0
16:04:747520,Left side,223 Loud,212 Loud,LOW,0,0,0,Up,0,0,0
16:04:879123,Left side,224 Loud,214 Loud,LOW,0,0,0,Up,0,0,0
16:04:010703,Left side,220 Loud,210 Loud,LOW,0,0,0,Up,0,0,0
16:04:148370,Left side,224 Loud,216 Loud,LOW,0,0,0,Up,0,0,0
16:04:280015,Left side,217 Loud,204 Loud,LOW,0,0,0,Up,0,0,0
16:04:411589,Left side,220 Loud,209 Loud,LOW,0,0,0,Up,0,0,0
16:04:542820,Left side,219 Loud,206 Loud,LOW,0,0,0,Up,0,0,0
16:04:680989,Left side,219 Loud,207 Loud,LOW,0,0,0,Up,0,0,0
16:04:812490,Left side,220 Loud,208 Loud,LOW,0,0,0,Up,0,0,0
16:04:936371,Left side,219 Loud,207 Loud,LOW,0,0,0,Up,0,0,0
16:04:066414,Left side,218 Loud,205 Loud,LOW,0,0,0,Up,0,0,0
16:04:229292,Left side,329 Loud,374 Loud,LOW,0,0,0,Up,0,0,0
16:04:351713,Left side,200 Loud,143 Loud,LOW,0,0,0,Up,0,0,0
16:04:483364,Left side,220 Loud,206 Loud,LOW,0,0,0,Up,0,0,0
16:04:614967,Left side,225 Loud,216 Loud,LOW,0,0,0,Up,0,0,0
16:04:753103,Left side,223 Loud,211 Loud,LOW,0,0,0,Up,0,0,0
16:04:884729,Left side,223 Loud,212 Loud,LOW,0,0,0,Up,0,0,0
16:04:031922,Left side,341 Loud,391 Loud,LOW,0,0,0,Up,0,0,0
16:04:170123,Left side,195 Loud,130 Loud,LOW,0,0,0,Up,0,0,0
16:04:301708,Left side,220 Loud,208 Loud,LOW,0,0,0,Up,0,0,0
16:04:455468,Left side,339 Loud,389 Loud,LOW,0,0,0,Up,0,0,0
16:04:587069,Left side,197 Loud,134 Loud,LOW,0,0,0,Up,0,0,0
16:04:718640,Left side,221 Loud,208 Loud,LOW,0,0,0,Up,0,0,0
16:04:856777,Left side,224 Loud,213 Loud,LOW,0,0,0,Up,0,0,0
16:04:992602,Left side,338 Loud,387 Loud,LOW,0,0,0,Up,0,0,0
16:04:135364,Left side,196 Loud,135 Loud,LOW,0,0,0,Up,0,0,0
16:04:289068,Left side,327 Loud,370 Loud,LOW,0,0,0,Up,0,1,1
16:04:420681,Left side,194 Loud,134 Loud,LOW,0,0,0,Up,0,1,1
